t,altitude_km,speed_ms,mass
1.0599999999999774,0.08161514248582534,0.03408985765100265,53648.6484375
2.0799999999999557,0.08161464190098923,0.01105102763058855,53644.6328125
3.6399999999999224,0.08199920114839915,1.6569289167682824,53412.80078125
4.659999999999901,0.08603576178546063,6.120898929312425,52964.42578125
5.6999999999998785,0.09489911023888271,10.821867884911375,52506.8046875
6.739999999999856,0.10868538005754817,15.656323589374612,52049.03515625
7.779999999999834,0.1275279191558948,20.627142520773106,51590.359375
8.839999999999812,0.15258952955552377,25.942768929272454,51114.1171875
9.85999999999979,0.18091500118013937,31.00263044315481,50673.16015625
10.899999999999768,0.21572846105729696,36.411029839617825,50214.40625
11.919999999999746,0.2553035841608653,41.86614410257443,49764.5390625
12.959999999999724,0.30226539739687,47.69126099449039,49297.04296875
13.979999999999702,0.35214418344025034,53.33443990046279,48855.96875
14.99999999999968,0.4087173525146209,59.23888425535919,48406.19140625
16.01999999999966,0.47116174942278305,65.29475521895161,47956.6015625
17.05999999999982,0.5409981036696118,71.6297248601435,47498.56640625
18.099999999999984,0.6187133568233112,78.2552119740644,47032.16015625
19.10000000000014,0.6965463327026228,84.53733738422147,46601.0859375
20.140000000000303,0.7855506049214164,91.373757895473,46143.75
21.160000000000462,0.8793684494969202,98.25306969643096,45695.23828125
22.16000000000062,0.9777346815647324,105.17005243295378,45255.55859375
23.180000000000778,1.0868673723797546,112.55291955708641,44798.41015625
24.240000000000943,1.2030918896992224,120.13155719968736,44341.28515625
25.280000000001106,1.326530171233695,127.90529067963256,43884.0703125
26.32000000000127,1.457303645628388,135.88430990963957,43426.875
27.36000000000143,1.5982694718557178,144.2361767071102,42960.85546875
28.38000000000159,1.7384810516590952,152.3249549853462,42521.2265625
29.440000000001756,1.89489298389724,161.1351772698122,42055.16796875
30.500000000001922,2.0594563843957148,170.19699120380722,41589.21484375
31.540000000002085,2.228974373011617,179.3527694173889,41132.3046875
32.54000000000224,2.3996315728718183,188.40574439396593,40693.5546875
33.540000000002394,2.57792529896053,197.7238394417648,40255.03515625
34.56000000000256,2.7677839563913875,207.50636210991084,39808.2265625
35.60000000000272,2.9698213668067472,217.79444327732628,39352.69140625
36.620000000002875,3.180540378941223,228.4023568497321,38897.30078125
37.62000000000303,3.3871770615489223,238.70695959083554,38468.1875
38.6400000000032,3.6107037247812843,249.76222566285867,38021.6875
39.640000000003354,3.8383527231008046,260.94112076953047,37583.98046875
40.66000000000351,4.079367075539659,272.70950649805434,37137.55859375
41.70000000000367,4.33441262878431,285.1056467820284,36682.48046875
42.700000000003826,4.588649878352299,297.4320862471496,36245.01953125
43.70000000000398,4.851829116594396,310.0973417920076,35807.74609375
44.70000000000414,5.124021662873216,323.1308022830585,35370.640625
46.06000000000435,5.507889987589792,336.5142995874883,29742.13671875
47.06000000000451,5.79546192406828,345.9650234603789,29536.40234375
48.10000000000464,6.10043327605119,356.2101362345066,29322.638671875
49.12000000000444,6.405466972200549,366.5214441341907,29112.951171875
50.16000000000423,6.722583932337235,377.3682123999856,28899.19140625
51.200000000004025,7.045949250689009,388.5628248859467,28685.435546875
52.24000000000382,7.375650736114709,400.12225963804696,28471.673828125
53.30000000000361,7.718319765779772,412.3134284237432,28253.806640625
54.320000000003404,8.05447775768349,424.4332952215461,28044.16015625
55.38000000000319,8.417384864818072,437.714967092783,27822.181640625
56.420000000002986,8.773752997983946,450.9662223877044,27608.421875
57.44000000000278,9.122906045317999,464.11229976159086,27402.88671875
58.46000000000258,9.485682280431385,477.920257826892,27193.23828125
59.540000000002365,9.87717815853178,492.94981889186465,26971.259765625
60.56000000000216,10.253901907837019,507.53568264042985,26761.611328125
61.62000000000195,10.660222862859955,523.3680205453227,26539.6328125
62.660000000001745,11.058734705439885,539.0334483020788,26325.869140625
63.70000000000154,11.456466572456993,554.7707759511753,26116.22265625
